Review,Aspect,Sentiment,Review_Clean,BERT_Input
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",pengabdian alumni,Netral,amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia,[CLS] pengabdian alumni [SEP] amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia [SEP]
"Amure berharap momentum itu menjadi titik evaluasi serius bagi LPDP untuk memperkuat sistem seleksi, mempertegas kontrak pengabdian, serta memastikan bahwa setiap penerima benar-benar memiliki komitmen membangun Indonesia.",proses seleksi,Netral,amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia,[CLS] proses seleksi [SEP] amure berharap momentum itu menjadi titik evaluasi serius bagi lpdp untuk memperkuat sistem seleksi mempertegas kontrak pengabdian serta memastikan bahwa setiap penerima benar benar memiliki komitmen membangun indonesia [SEP]
"Kritisi penerima LPDP, DPR minta perketat seleksi beasiswa LPDP Kami meminta agar pemerintah memperketat seleksi LPDP.",proses seleksi,Netral,kritisi penerima lpdp dpr minta perketat seleksi beasiswa lpdp kami meminta agar pemerintah memperketat seleksi lpdp,[CLS] proses seleksi [SEP] kritisi penerima lpdp dpr minta perketat seleksi beasiswa lpdp kami meminta agar pemerintah memperketat seleksi lpdp [SEP]
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,pengabdian alumni,Negatif,permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds,[CLS] pengabdian alumni [SEP] permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds [SEP]
Permintaan itu disampaikan Habib merespons kemunculan pernyataan seorang mantan penerima beasiswa LPDP berinisial DS yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian LPDP oleh suami DS.,dana beasiswa,Negatif,permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds,[CLS] dana beasiswa [SEP] permintaan itu disampaikan habib merespons kemunculan pernyataan seorang mantan penerima beasiswa lpdp berinisial ds yang dinilai tidak mencerminkan nasionalisme serta adanya dugaan pelanggaran komitmen pengabdian lpdp oleh suami ds [SEP]
"Pernyataan yang disampaikan oleh alumni penerima LPDP yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan, kata Habib di Jakarta, Senin.",kebijakan LPDP,Netral,pernyataan yang disampaikan oleh alumni penerima lpdp yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan kata habib di jakarta senin,[CLS] kebijakan LPDP [SEP] pernyataan yang disampaikan oleh alumni penerima lpdp yang viral itu menunjukkan bahwa masih ada yang belum sepenuhnya mematuhi aturan kata habib di jakarta senin [SEP]
"Dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa LPDP harus diuji lebih dalam, bukan sekadar kecakapan akademik.",kualitas pendidikan,Netral,dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa lpdp harus diuji lebih dalam bukan sekadar kecakapan akademik,[CLS] kualitas pendidikan [SEP] dia lalu memandang insiden itu menjadi alarm bagi pemerintah bahwa integritas dan komitmen kebangsaan calon penerima beasiswa lpdp harus diuji lebih dalam bukan sekadar kecakapan akademik [SEP]
Ia mendukung langkah tegas LPDP yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan.,kebijakan LPDP,Netral,ia mendukung langkah tegas lpdp yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan,[CLS] kebijakan LPDP [SEP] ia mendukung langkah tegas lpdp yang berencana memanggil pihak terkait untuk klarifikasi dan pemberian sanksi jika terbukti melanggar ketentuan [SEP]
"Jika ada yang tidak menjalankan komitmennya, maka harus ada penegakan aturan yang tegas,” kata Habib.",kebijakan LPDP,Netral,jika ada yang tidak menjalankan komitmennya maka harus ada penegakan aturan yang tegas kata habib,[CLS] kebijakan LPDP [SEP] jika ada yang tidak menjalankan komitmennya maka harus ada penegakan aturan yang tegas kata habib [SEP]
Pramono mengaku betul-betul berkeinginan agar anak-anak Jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program LPDP yang dipersiapkan oleh pemerintah DKI Jakarta.,kualitas pendidikan,Netral,pramono mengaku betul betul berkeinginan agar anak anak jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program lpdp yang dipersiapkan oleh pemerintah dki jakarta,[CLS] kualitas pendidikan [SEP] pramono mengaku betul betul berkeinginan agar anak anak jakarta yang berprestasi di sekolah bisa mengenyam pendidikan hingga ke luar negeri melalui program lpdp yang dipersiapkan oleh pemerintah dki jakarta [SEP]
"Brian menjelaskan bahwa setiap tahunnya Indonesia mencetak sekitar 1,7 juta lulusan dari berbagai bidang strategis, mulai dari sains dan teknologi hingga ilmu sosial.",kualitas pendidikan,Netral,brian menjelaskan bahwa setiap tahunnya indonesia mencetak sekitar 1 7 juta lulusan dari berbagai bidang strategis mulai dari sains dan teknologi hingga ilmu sosial,[CLS] kualitas pendidikan [SEP] brian menjelaskan bahwa setiap tahunnya indonesia mencetak sekitar 1 7 juta lulusan dari berbagai bidang strategis mulai dari sains dan teknologi hingga ilmu sosial [SEP]
"Saat ini, terdapat lebih dari 1,1 juta mahasiswa aktif yang biaya hidup dan SPP-nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai Rp16 triliun per tahun.",dana beasiswa,Netral,saat ini terdapat lebih dari 1 1 juta mahasiswa aktif yang biaya hidup dan spp nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai rp16 triliun per tahun,[CLS] dana beasiswa [SEP] saat ini terdapat lebih dari 1 1 juta mahasiswa aktif yang biaya hidup dan spp nya ditanggung sepenuhnya oleh negara dengan total anggaran mencapai rp16 triliun per tahun [SEP]
"Dengan penguatan ini, diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta.",kualitas pendidikan,Netral,dengan penguatan ini diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta,[CLS] kualitas pendidikan [SEP] dengan penguatan ini diharapkan tidak ada lagi anak bangsa yang terkendala biaya untuk mengenyam pendidikan tinggi di perguruan tinggi negeri maupun swasta [SEP]
Seluruh penerima Beasiswa Fellowship Dokter Spesialis akan memperoleh pembiayaan pendidikan penuh (fully funded) dari LPDP.,kualitas pendidikan,Netral,seluruh penerima beasiswa fellowship dokter spesialis akan memperoleh pembiayaan pendidikan penuh fully funded dari lpdp,[CLS] kualitas pendidikan [SEP] seluruh penerima beasiswa fellowship dokter spesialis akan memperoleh pembiayaan pendidikan penuh fully funded dari lpdp [SEP]
"Untuk selengkapnya, berikut terkait persyaratan dan jadwalnya.",proses seleksi,Netral,untuk selengkapnya berikut terkait persyaratan dan jadwalnya,[CLS] proses seleksi [SEP] untuk selengkapnya berikut terkait persyaratan dan jadwalnya [SEP]
Persyaratan Beasiswa Fellowship Dokter Spesialis 2026 Pendaftaran beasiswa ini dapat dilakukan melalui https://beasiswalpdp.,proses seleksi,Netral,persyaratan beasiswa fellowship dokter spesialis 2026 pendaftaran beasiswa ini dapat dilakukan melalui https beasiswalpdp,[CLS] proses seleksi [SEP] persyaratan beasiswa fellowship dokter spesialis 2026 pendaftaran beasiswa ini dapat dilakukan melalui https beasiswalpdp [SEP]
"Adapun persyaratan bagi pendaftar Beasiswa Fellowship Dokter Spesialis 2026 yang wajib dipenuhi adalah sebagai berikut: Terbuka bagi WNI yang berprofesi sebagai Dokter Spesialis, baik berstatus PNS maupun Non-PNS.",proses seleksi,Netral,adapun persyaratan bagi pendaftar beasiswa fellowship dokter spesialis 2026 yang wajib dipenuhi adalah sebagai berikut terbuka bagi wni yang berprofesi sebagai dokter spesialis baik berstatus pns maupun non pns,[CLS] proses seleksi [SEP] adapun persyaratan bagi pendaftar beasiswa fellowship dokter spesialis 2026 yang wajib dipenuhi adalah sebagai berikut terbuka bagi wni yang berprofesi sebagai dokter spesialis baik berstatus pns maupun non pns [SEP]
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,proses seleksi,Netral,wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku,[CLS] proses seleksi [SEP] wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku [SEP]
Wajib melampirkan surat penerimaan (LoA) dari Unit Penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku.,kualitas pendidikan,Netral,wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku,[CLS] kualitas pendidikan [SEP] wajib melampirkan surat penerimaan loa dari unit penyelenggara yang mencakup rincian biaya pendidikan sesuai jadwal seleksi yang berlaku [SEP]
"Tidak sedang menempuh (on going) pendidikan fellowship atau subspesialis di lembaga mana pun, baik di dalam maupun luar negeri.",kualitas pendidikan,Netral,tidak sedang menempuh on going pendidikan fellowship atau subspesialis di lembaga mana pun baik di dalam maupun luar negeri,[CLS] kualitas pendidikan [SEP] tidak sedang menempuh on going pendidikan fellowship atau subspesialis di lembaga mana pun baik di dalam maupun luar negeri [SEP]
"Menuliskan rencana pascastudi, komitmen untuk kembali ke tanah air, serta kontribusi yang akan diberikan bagi Indonesia.",pengabdian alumni,Positif,menuliskan rencana pascastudi komitmen untuk kembali ke tanah air serta kontribusi yang akan diberikan bagi indonesia,[CLS] pengabdian alumni [SEP] menuliskan rencana pascastudi komitmen untuk kembali ke tanah air serta kontribusi yang akan diberikan bagi indonesia [SEP]
Tidak pernah dijatuhi sanksi disiplin berat (bagi PNS) atau memiliki catatan kegagalan/pembatalan beasiswa LPDP sebelumnya akibat kelalaian pribadi.,kebijakan LPDP,Negatif,tidak pernah dijatuhi sanksi disiplin berat bagi pns atau memiliki catatan kegagalan pembatalan beasiswa lpdp sebelumnya akibat kelalaian pribadi,[CLS] kebijakan LPDP [SEP] tidak pernah dijatuhi sanksi disiplin berat bagi pns atau memiliki catatan kegagalan pembatalan beasiswa lpdp sebelumnya akibat kelalaian pribadi [SEP]
"Bagi pendaftar yang dinyatakan lolos seleksi, perkiraan waktu mulai studi (intake) paling cepat adalah pada bulan Mei dan Juli, menyesuaikan dengan periode pendaftaran yang diikuti.",proses seleksi,Netral,bagi pendaftar yang dinyatakan lolos seleksi perkiraan waktu mulai studi intake paling cepat adalah pada bulan mei dan juli menyesuaikan dengan periode pendaftaran yang diikuti,[CLS] proses seleksi [SEP] bagi pendaftar yang dinyatakan lolos seleksi perkiraan waktu mulai studi intake paling cepat adalah pada bulan mei dan juli menyesuaikan dengan periode pendaftaran yang diikuti [SEP]
Presiden Prabowo Subianto sendiri menargetkan LPDP dapat membiayai beasiswa 4.,dana beasiswa,Netral,presiden prabowo subianto sendiri menargetkan lpdp dapat membiayai beasiswa 4,[CLS] dana beasiswa [SEP] presiden prabowo subianto sendiri menargetkan lpdp dapat membiayai beasiswa 4 [SEP]
"Pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari LPDP untuk keilmuan bidang Science, Technology, Engineering, and Mathematics (STEM) mulai tahun 2026 mendatang.",kualitas pendidikan,Netral,pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari lpdp untuk keilmuan bidang science technology engineering and mathematics stem mulai tahun 2026 mendatang,[CLS] kualitas pendidikan [SEP] pemerintah akan mulai memfokuskan pendanaan beasiswa pendidikan dari lpdp untuk keilmuan bidang science technology engineering and mathematics stem mulai tahun 2026 mendatang [SEP]
LPDP resmi berdiri melalui Peraturan Menteri Keuangan (PMK) Nomor 252/PMK.,kebijakan LPDP,Netral,lpdp resmi berdiri melalui peraturan menteri keuangan pmk nomor 252 pmk,[CLS] kebijakan LPDP [SEP] lpdp resmi berdiri melalui peraturan menteri keuangan pmk nomor 252 pmk [SEP]
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",dana beasiswa,Netral,adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya,[CLS] dana beasiswa [SEP] adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya [SEP]
"Adapun pada 2021, LPDP juga diberi mandat mengelola dana abadi riset, kebudayaan, dan pendidikan tinggi, bersama dengan kementerian/badan terkait lainnya.",kualitas pendidikan,Netral,adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya,[CLS] kualitas pendidikan [SEP] adapun pada 2021 lpdp juga diberi mandat mengelola dana abadi riset kebudayaan dan pendidikan tinggi bersama dengan kementerian badan terkait lainnya [SEP]
"Adapun komponen beasiswa yang ditanggung LPDP mencakup biaya pendidikan, yaitu biaya pendaftaran, biaya SPP (tuition fee), tunjangan buku, biaya penelitian, biaya seminar internasional, biaya publikasi jurnal internasional.",kualitas pendidikan,Netral,adapun komponen beasiswa yang ditanggung lpdp mencakup biaya pendidikan yaitu biaya pendaftaran biaya spp tuition fee tunjangan buku biaya penelitian biaya seminar internasional biaya publikasi jurnal internasional,[CLS] kualitas pendidikan [SEP] adapun komponen beasiswa yang ditanggung lpdp mencakup biaya pendidikan yaitu biaya pendaftaran biaya spp tuition fee tunjangan buku biaya penelitian biaya seminar internasional biaya publikasi jurnal internasional [SEP]
"Tahapan pendaftaran beasiswa LPDP umumnya mencakup seleksi administrasi, seleksi bakat skolastik, dan seleksi substansi.",proses seleksi,Netral,tahapan pendaftaran beasiswa lpdp umumnya mencakup seleksi administrasi seleksi bakat skolastik dan seleksi substansi,[CLS] proses seleksi [SEP] tahapan pendaftaran beasiswa lpdp umumnya mencakup seleksi administrasi seleksi bakat skolastik dan seleksi substansi [SEP]
Beasiswa Perguruan Tinggi Utama Dunia (PTUD) Beasiswa PTUD adalah program beasiswa yang diperuntukkan bagi WNI yang telah memperoleh LoA dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor.,kualitas pendidikan,Netral,beasiswa perguruan tinggi utama dunia ptud beasiswa ptud adalah program beasiswa yang diperuntukkan bagi wni yang telah memperoleh loa dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor,[CLS] kualitas pendidikan [SEP] beasiswa perguruan tinggi utama dunia ptud beasiswa ptud adalah program beasiswa yang diperuntukkan bagi wni yang telah memperoleh loa dari perguruan tinggi utama dunia untuk menempuh jenjang pendidikan magister dan doktor [SEP]
"Pendaftar beasiswa ini harus memilih salah satu skema pendanaan untuk ditanggungnya, dana pendidikan atau dana pendukung, sementara salah satu skema lainnya ditanggung oleh LPDP.",kualitas pendidikan,Positif,pendaftar beasiswa ini harus memilih salah satu skema pendanaan untuk ditanggungnya dana pendidikan atau dana pendukung sementara salah satu skema lainnya ditanggung oleh lpdp,[CLS] kualitas pendidikan [SEP] pendaftar beasiswa ini harus memilih salah satu skema pendanaan untuk ditanggungnya dana pendidikan atau dana pendukung sementara salah satu skema lainnya ditanggung oleh lpdp [SEP]
"Oleh karena itu, apabila pendaftar tidak lolos pada seleksi pilihan Beasiswa Prioritas Kemitraan LPDP tersebut dapat melanjutkan tahap proses ke program beasiswa lainnya yang telah didaftarkan.",proses seleksi,Netral,oleh karena itu apabila pendaftar tidak lolos pada seleksi pilihan beasiswa prioritas kemitraan lpdp tersebut dapat melanjutkan tahap proses ke program beasiswa lainnya yang telah didaftarkan,[CLS] proses seleksi [SEP] oleh karena itu apabila pendaftar tidak lolos pada seleksi pilihan beasiswa prioritas kemitraan lpdp tersebut dapat melanjutkan tahap proses ke program beasiswa lainnya yang telah didaftarkan [SEP]
"Meski demikian, pendaftar yang sedang menempuh studi dapat mendaftar dengan ketentuan tertentu.",kebijakan LPDP,Netral,meski demikian pendaftar yang sedang menempuh studi dapat mendaftar dengan ketentuan tertentu,[CLS] kebijakan LPDP [SEP] meski demikian pendaftar yang sedang menempuh studi dapat mendaftar dengan ketentuan tertentu [SEP]
Memenuhi persyaratan Indeks Prestasi Kumulatif (IPK) yang ditetapkan.,proses seleksi,Netral,memenuhi persyaratan indeks prestasi kumulatif ipk yang ditetapkan,[CLS] proses seleksi [SEP] memenuhi persyaratan indeks prestasi kumulatif ipk yang ditetapkan [SEP]
"Memenuhi skor kemampuan Bahasa Inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan, seperti tes TOEFL atau IELTS, yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa.",proses seleksi,Netral,memenuhi skor kemampuan bahasa inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan seperti tes toefl atau ielts yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa,[CLS] proses seleksi [SEP] memenuhi skor kemampuan bahasa inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan seperti tes toefl atau ielts yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa [SEP]
"Memenuhi skor kemampuan Bahasa Inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan, seperti tes TOEFL atau IELTS, yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa.",kebijakan LPDP,Netral,memenuhi skor kemampuan bahasa inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan seperti tes toefl atau ielts yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa,[CLS] kebijakan LPDP [SEP] memenuhi skor kemampuan bahasa inggris sesuai ketentuan program beasiswa dan jenjang studi yang didaftarkan seperti tes toefl atau ielts yang diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa [SEP]
Melampirkan surat rekomendasi sesuai ketentuan setiap program beasiswa yang diterbitkan paling lama satu tahun di bulan yang sama dengan waktu pendaftaran beasiswa.,kebijakan LPDP,Netral,melampirkan surat rekomendasi sesuai ketentuan setiap program beasiswa yang diterbitkan paling lama satu tahun di bulan yang sama dengan waktu pendaftaran beasiswa,[CLS] kebijakan LPDP [SEP] melampirkan surat rekomendasi sesuai ketentuan setiap program beasiswa yang diterbitkan paling lama satu tahun di bulan yang sama dengan waktu pendaftaran beasiswa [SEP]
Memilih perguruan tinggi tujuan dan program studi sesuai dengan ketentuan LPDP.,kebijakan LPDP,Netral,memilih perguruan tinggi tujuan dan program studi sesuai dengan ketentuan lpdp,[CLS] kebijakan LPDP [SEP] memilih perguruan tinggi tujuan dan program studi sesuai dengan ketentuan lpdp [SEP]
"Menyetujui surat pernyataan yang diwajibkan dalam aplikasi, dan menuliskan komitmen untuk kembali ke Indonesia, rencana pascastudi, dan rencana kontribusi di Indonesia.",pengabdian alumni,Positif,menyetujui surat pernyataan yang diwajibkan dalam aplikasi dan menuliskan komitmen untuk kembali ke indonesia rencana pascastudi dan rencana kontribusi di indonesia,[CLS] pengabdian alumni [SEP] menyetujui surat pernyataan yang diwajibkan dalam aplikasi dan menuliskan komitmen untuk kembali ke indonesia rencana pascastudi dan rencana kontribusi di indonesia [SEP]
